ItemName	Type
Item_Dan_CureHuoDamage	灵丹
Item_Dan_CureTuDamage	灵丹
Item_Dan_CureFiveElementDamage	灵丹
Item_Dan_Restore	灵丹
Item_Dan_ExtremeLofty	灵丹
Item_Dan_HundredRefine	灵丹
Item_Dan_IncreaseLife1	灵丹
Item_Dan_IncreaseLife2	灵丹
Item_Dan_IncreaseLife3	灵丹
Item_Dan_IncreaseLife4	灵丹
Item_Dan_IncreaseLife5	灵丹
Item_Dan_IncreaseNeckCountdown1	灵丹
Item_Dan_IncreaseNeckCountdown2	灵丹
Item_Dan_SwordBall	灵丹
Item_Dan_Defense	灵丹
Item_Dan_Ling3	灵丹
Item_Dan_FiveBase1	灵丹
Item_Dan_FiveBase2	灵丹
Item_Dan_FiveBase3	灵丹
Item_Dan_FiveBase4	灵丹
Item_Dan_FiveBase5	灵丹
Item_Dan_FiveBaseFromLife	灵丹
Item_Dan_TreeEXP	灵丹
Item_Dan_Thin	灵丹
Item_Dan_Fat	灵丹
Item_Dan_FaceLock	灵丹
Item_Dan_FaceUnLock	灵丹
Item_Dan_Soul1	灵丹
Item_Dan_Soul2	灵丹
Item_Dan_Soul3	灵丹
Item_Dan_Soul4	灵丹
Item_Dan_LunHui1	灵丹
Item_Dan_ReBorn	灵丹
Item_Dan_ReBorn_4	灵丹
Item_Dan_LingYuanZhong	灵丹
Item_Dan_LingYuanSha	灵丹
Item_Dan_LongDan1	灵丹
Item_Dan_FengDan1	灵丹
Item_Dan_ZhuLongDan1	灵丹
Item_Dan_FenShen1	灵丹
Item_Dan_FenShen2	灵丹
Item_Dan_FenShen3	灵丹
Item_Dan_TiShen	灵丹
Item_ThunderAir	天材地宝
Item_XianBone	天材地宝
Item_XianBoneBall	天材地宝
Item_ZaoHuaYuZi	天材地宝
Item_BenYuan_None	天材地宝
Item_YuanHunLu	天材地宝
Item_XieHunLu	天材地宝
Item_YanDaoGuo	天材地宝
Item_QieDaoGuo	天材地宝
Item_XianDaoShenNian	天材地宝
Item_XianDaoXieNian	天材地宝
Item_WinterWarm	天材地宝
Item_SummerHerb	天材地宝
Item_God_ZhiNianJieJing	天材地宝
Item_BenYuan_Jin	天材地宝
Item_BenYuan_Mu	天材地宝
Item_BenYuan_Shui	天材地宝
Item_BenYuan_Huo	天材地宝
Item_BenYuan_Tu	天材地宝
Item_JinEssence	天材地宝
Item_MuEssence	天材地宝
Item_ShuiEssence	天材地宝
Item_HuoEssence	天材地宝
Item_TuEssence	天材地宝
Item_IronBlock	材料
Item_CopperBlock	材料
Item_SilverBlock	材料
Item_CopperBlock1	材料
Item_SilverBlock1	材料
Item_DarksteelBlock	材料
Item_StarEssenceBlock	材料
Item_BrownRockBlock	材料
Item_GrayRockBlock	材料
Item_MarbleBlock	材料
Item_JadeBlock	材料
Item_SkyStoneBlock	材料
Item_LingStoneBlock	材料
Item_LingCrystalBlock	材料
Item_RoughWoodBlock	材料
Item_HardWoodBlock	材料
Item_ParasolWoodBlock	材料
Item_LingWoodBlock	材料
Item_CottonCloth	材料
Item_DeepBlueCloth	材料
Item_PurpleCloth	材料
Item_YellowCloth	材料
Item_BlueCloth	材料
Item_RedCloth	材料
Item_WhiteCloth	材料
Item_BlackCloth	材料
Item_WoodLeftover	材料
Item_HardWoodLeftover	材料
Item_ParasolWoodLeftover	材料
Item_LingWoodLeftover	材料
Item_BrownRockLeftover	材料
Item_GrayRockLeftover	材料
Item_MarbleLeftover	材料
Item_JadeLeftover	材料
Item_SkyStoneLeftover	材料
Item_LingStoneLeftover	材料
Item_LingCrystalLeftover	材料
Item_IronRockLeftover	材料
Item_CopperRockLeftover	材料
Item_SilverRockLeftover	材料
Item_DarksteelRockLeftover	材料
Item_StarEssenceLeftover	材料
Item_BossFeng_HuoYu	神兽材料
Item_BossFeng_GangYu	神兽材料
Item_BossFeng_TouYu	神兽材料
Item_BossFeng_WeiYu	神兽材料
Item_BossFeng_Gu	神兽材料
Item_BossFeng_HongYu	神兽材料
Item_BossFeng_Meat	神兽材料
Item_DragonScale	神兽材料
Item_BossLong_Jiao	神兽材料
Item_BossLong_Zhua	神兽材料
Item_BossLong_Lin	神兽材料
Item_BossLong_NiLin	神兽材料
Item_BossLong_Jing	神兽材料
Item_BossLong_Meat	神兽材料
Item_BossZhuLong_BaiLin	神兽材料
Item_BossZhuLong_HeiLin	神兽材料
Item_BossZhuLong_Eye	神兽材料
Item_BossZhuLong_TianLin	神兽材料
Item_BossZhuLong_LongYu	神兽材料
Item_BossZhuLong_Meat	神兽材料
Item_BossFeng_FengYin	神兽材料
Item_BossZhuLong_FengYin	神兽材料
